Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier
13,013_01,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,post-test scores,cognitive,understand,72.0,70.0,115.42,22.7,110.93,29.01,0.1718,0.1682,OCR_VERIFIED,100.0,1
13,013_02,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,review time,behavioral,,72.0,70.0,24.29,12.62,42.54,20.43,-1.0725,0.1795,OCR_VERIFIED,100.0,1
13,013_03,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,complex questions performance,cognitive,analyze,72.0,70.0,,,,,,,OCR_VERIFIED,100.0,1
14,014_01,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,academic achievement,cognitive,apply,35.0,33.0,,,,,,,OCR_VERIFIED,100.0,1
14,014_02,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,goal setting,metacognitive,,35.0,33.0,5.28,0.95,5.14,0.9,0.1494,0.243,OCR_VERIFIED,100.0,1
14,014_03,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,environmental structure,metacognitive,,35.0,33.0,5.41,0.94,5.45,0.92,-0.0425,0.2427,OCR_VERIFIED,100.0,1
14,014_04,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,task strategy,metacognitive,,35.0,33.0,4.76,1.11,4.83,0.87,-0.0691,0.2427,OCR_VERIFIED,100.0,1
14,014_05,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,time management,metacognitive,,35.0,33.0,4.84,0.99,4.93,0.89,-0.0944,0.2428,OCR_VERIFIED,100.0,1
14,014_06,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,help seeking,metacognitive,,35.0,33.0,5.21,0.9,5.02,0.82,0.2179,0.2434,OCR_VERIFIED,100.0,1
14,014_07,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,self-evaluation,metacognitive,,35.0,33.0,5.28,0.9,5.18,0.83,0.1141,0.2428,OCR_VERIFIED,100.0,1
